,term,N,N_ordered,N_not_ordered,N_made,N_not_made,N_assayed,N_not_assayed,N_crystallised,N_not_crystallised,freq_ordered (of total),freq_made (of total),freq_assayed (of total),freq_crystallised (of total),freq_made (of ordered),freq_assayed (of made),freq_crystallised (of made),fisher_p_ordered,χ2_p_ordered,fisher_p_made,χ2_p_made,fisher_p_assayed,χ2_p_assayed,fisher_p_crystallised,χ2_p_crystallised,log2_freq_ordered (of total),log2_freq_made (of total),log2_freq_assayed (of total),log2_freq_crystallised (of total),log2_freq_made (of ordered),log2_freq_assayed (of made),log2_freq_crystallised (of made)
3643,try-uni-714a760b-6,74,55.0,19.0,48.0,26.0,48.0,26.0,12.0,62.0,0.7432,0.6486,0.6486,0.1622,0.8727,1.0,0.25,4.446325381391832e-20,0.0,8.515630148715723e-21,0.0,4.160493670367373e-21,0.0,2.8959930992307105e-08,0.0,2.6104213336689246,2.850936002941359,2.878478462898286,3.262678667935089,0.24108324417568847,0.027674958442848226,0.40659841887435294
3642,try-uni-714a760b,91,57.0,34.0,49.0,42.0,49.0,42.0,12.0,79.0,0.6264,0.5385,0.5385,0.1319,0.8596,1.0,0.2449,3.0287459195572055e-18,0.0,1.1253426312408713e-18,0.0,5.546795541199245e-19,0.0,2.2022726783697276e-07,0.0,2.363755044577312,2.582553323917123,2.6100957838740495,2.9643494129693604,0.21926292978200929,0.027674958442848226,0.3768630978888817
406,submissions,269,69.0,200.0,45.0,224.0,45.0,224.0,52.0,217.0,0.2565,0.1673,0.1673,0.1933,0.6522,1.0,1.1556,4.0017383791338947e-07,0.0,0.00040246735889063845,0.0,0.00024350327457961263,0.0,1.1141585877640471e-32,0.0,1.075629657780688,0.8960444245239055,0.9235868844808321,3.5157464859290517,-0.17908811189730872,0.027674958442848226,2.6152405278895188
260,submission,886,181.0,705.0,154.0,732.0,154.0,732.0,60.0,826.0,0.2043,0.1738,0.1738,0.0677,0.8508,1.0,0.3896,7.083988545407336e-09,0.0,1.6942659325751388e-11,0.0,5.165749324516823e-12,0.0,2.6827745213991937e-16,0.0,0.747360036019499,0.951035061299953,0.9785775212568796,2.0021325872928126,0.20441748031489815,0.027674958442848226,1.0466640014072457
2741,moonshot,290,57.0,233.0,34.0,256.0,33.0,257.0,98.0,192.0,0.1966,0.1172,0.1138,0.3379,0.5965,0.9706,2.8824,0.0017098093191508972,0.0,0.15326527405489593,0.0,0.1803042156168379,0.0,2.5038302134313937e-76,0.0,0.6919341536268522,0.38257954890780066,0.3676499967490613,4.321501198881617,-0.30788041506318364,-0.015376276342402974,3.933868975751694
3639,cid,378,51.0,327.0,28.0,350.0,27.0,351.0,93.0,285.0,0.1349,0.0741,0.0714,0.246,0.549,0.9643,3.3214,0.47959795373539643,0.0,0.36046723236355177,0.0,0.3543943347908375,0.0,1.402961691703201e-62,0.0,0.1485611802345392,-0.27884757320861336,-0.3048545815284209,3.863563163944418,-0.4275964037532131,-0.024771088349741052,4.13838989759148
2772,rate,886,100.0,786.0,64.0,822.0,63.0,823.0,53.0,833.0,0.1129,0.0722,0.0711,0.0598,0.64,0.9844,0.8281,0.5257755683315144,0.0,0.1118736178595981,0.0,0.1094438119548515,0.0,8.008808357997234e-13,0.0,-0.10828368194072749,-0.3163222786272763,-0.3109290959381053,1.8231222379159209,-0.20633064787104932,0.004991521351558707,2.134475319722296
4398,shot,545,61.0,484.0,37.0,508.0,36.0,509.0,98.0,447.0,0.1119,0.0679,0.0661,0.1798,0.6066,0.973,2.6486,0.5939591947220937,0.0,0.10577510862048925,0.0,0.10235844674022451,0.0,6.60964142888897e-55,0.0,-0.12111913173733449,-0.40490954126971546,-0.4161283840498289,3.4112978692322633,-0.28365705502160315,-0.011813331438127201,3.811828398636912
5159,sec,379,42.0,337.0,28.0,351.0,28.0,351.0,49.0,330.0,0.1108,0.0739,0.0739,0.1293,0.6667,1.0,1.75,0.6334482250620665,0.0,0.3605001037867251,0.0,0.407478766040025,0.0,4.1249096689244096e-24,0.0,-0.1353712866645401,-0.28274675136829647,-0.2552042914113698,2.93562712352807,-0.14736482586874528,0.027674958442848226,3.213953340931957
1418,generate,359,39.0,320.0,37.0,322.0,36.0,323.0,52.0,307.0,0.1086,0.1031,0.1003,0.1448,0.9487,0.973,1.4054,0.5673600247963607,0.0,0.40650439310301906,0.0,0.4554096816315509,0.0,1.974558666528204e-27,0.0,-0.16430506490936683,0.19765131185366105,0.18547104505465994,3.0989664508010213,0.36154939418168136,-0.011813331438127201,2.8975792225487442
63,available,2036,149.0,1887.0,103.0,1933.0,103.0,1933.0,9.0,2027.0,0.0732,0.0506,0.0506,0.0044,0.6913,1.0,0.0874,1.448930276555894e-09,0.0,5.734210739170561e-09,0.0,2.0608219156894545e-08,0.0,2.321632186196884e-06,0.0,-0.733413614429686,-0.8291837308201371,-0.8016412708632105,-1.9414478176448868,-0.0950906273385941,0.027674958442848226,-1.109624491174498
5803,rid,3358,237.0,3121.0,192.0,3166.0,171.0,3187.0,19.0,3339.0,0.0706,0.0572,0.0509,0.0057,0.8101,0.8906,0.099,1.3739412090522012e-15,0.0,3.321550621706599e-09,0.0,4.8767716785684024e-12,0.0,1.4743485481368062e-07,0.0,-0.7855890794425483,-0.6523059687360578,-0.7931129994818252,-1.5679894221174424,0.13369745451888027,-0.13947552466369767,-0.9298292457081244
11,structure,4884,300.0,4584.0,219.0,4665.0,218.0,4666.0,27.0,4857.0,0.0614,0.0448,0.0446,0.0055,0.73,0.9954,0.1233,2.6449613345117664e-29,0.0,3.930010792917274e-23,0.0,5.800390245791719e-22,0.0,3.9136926308448756e-10,0.0,-0.987018607343549,-1.004822383456843,-0.9837349456372158,-1.6195197227575246,-0.01650608899103216,0.021023250570418327,-0.6131568762722572
1031,mol,5256,310.0,4946.0,255.0,5001.0,254.0,5002.0,37.0,5219.0,0.059,0.0485,0.0483,0.007,0.8226,0.9961,0.1451,6.516657902340136e-34,0.0,2.643845850438575e-20,0.0,3.1914895100424366e-19,0.0,7.161951093046971e-08,0.0,-1.044542308464525,-0.8903363684399572,-0.8687554667217473,-1.2715964193372176,0.15578851885460807,0.022037447477485508,-0.37828215660835196
525,bind,2655,149.0,2506.0,119.0,2536.0,118.0,2537.0,16.0,2639.0,0.0561,0.0448,0.0444,0.006,0.7987,0.9916,0.1345,6.2447630195016705e-22,0.0,1.8770311242449722e-14,0.0,5.529948263585487e-14,0.0,5.362259276350926e-06,0.0,-1.1172564921049357,-1.004822383456843,-0.9902189792074146,-1.4939888406736657,0.11325116070051146,0.015505134980121103,-0.48772350323110997
1496,dock,4571,255.0,4316.0,188.0,4383.0,187.0,4384.0,23.0,4548.0,0.0558,0.0411,0.0409,0.005,0.7373,0.9947,0.1223,3.804033125628451e-34,0.0,3.2379642895139164e-26,0.0,4.321532899377178e-25,0.0,1.3301220045437524e-10,0.0,-1.1249921408845407,-1.1291827218327644,-1.108677812615772,-1.7570232465074596,-0.0021507960139622085,0.0200083401937833,-0.6249052721477099
656,chem,4833,264.0,4569.0,212.0,4621.0,212.0,4621.0,24.0,4809.0,0.0546,0.0439,0.0439,0.005,0.803,1.0,0.1132,5.426181674079797e-37,0.0,4.607797850850998e-24,0.0,1.0450453269673774e-22,0.0,3.654256705358189e-11,0.0,-1.156356311793876,-1.034100175979089,-1.0065577160221624,-1.7570232465074596,0.12099743475890268,0.027674958442848226,-0.7364557178432142
2566,cov,5713,304.0,5409.0,214.0,5499.0,213.0,5500.0,37.0,5676.0,0.0532,0.0375,0.0373,0.0065,0.7039,0.9953,0.1729,4.291100233700073e-44,0.0,1.4033904428525164e-36,0.0,4.3769704756644325e-35,0.0,2.2780092633569637e-09,0.0,-1.1938310172125388,-1.261430520131204,-1.241603025302283,-1.3785116232537298,-0.06903206694991136,0.020878307078972758,-0.12539180703281474
132,active,1415,75.0,1340.0,58.0,1357.0,58.0,1357.0,3.0,1412.0,0.053,0.041,0.041,0.0021,0.7733,1.0,0.0517,2.4991620448157902e-14,0.0,2.5397490646051883e-10,0.0,7.139172271997835e-10,0.0,6.010140994610193e-07,0.0,-1.1992649032631668,-1.132697206009001,-1.1051547460520745,-3.008562013503424,0.06662566006405848,0.027674958442848226,-1.867093490360162
29,molecule,4594,241.0,4353.0,200.0,4394.0,199.0,4395.0,33.0,4561.0,0.0525,0.0435,0.0433,0.0072,0.8299,0.995,0.165,2.7129931018797494e-38,0.0,1.4466530269993964e-23,0.0,1.7191871135584924e-22,0.0,5.029506341752034e-07,0.0,-1.2129398401602434,-1.0473057147783567,-1.0264116308307958,-1.230954434839872,0.16853495432440427,0.020443389211772377,-0.19286365154191834
4122,sin,6496,337.0,6159.0,247.0,6249.0,245.0,6251.0,42.0,6454.0,0.0519,0.038,0.0377,0.0065,0.7329,0.9919,0.17,1.1127852561634322e-50,0.0,3.749899260789557e-39,0.0,9.951256726180832e-38,0.0,2.993293025180174e-10,0.0,-1.2295227243558475,-1.2423216971834996,-1.2262141322888565,-1.3785116232537298,-0.010786188657361633,0.0159415438690215,-0.14979492965003233
4416,exp,5183,245.0,4938.0,211.0,4972.0,211.0,4972.0,13.0,5170.0,0.0473,0.0407,0.0407,0.0025,0.8612,1.0,0.0616,5.717725040771547e-50,0.0,2.654753993334949e-29,0.0,7.530795656941013e-28,0.0,6.072073063639488e-19,0.0,-1.363417079374333,-1.1432923212482002,-1.1157498612912735,-2.7570232465074596,0.22194576652145956,0.027674958442848226,-1.6143274199801951
58,structures,3570,163.0,3407.0,116.0,3454.0,115.0,3455.0,19.0,3551.0,0.0457,0.0325,0.0322,0.0053,0.7117,0.9914,0.1638,4.301965271216915e-39,0.0,2.0072434849529545e-31,0.0,1.9533506030097555e-30,0.0,2.548638252290878e-08,0.0,-1.4130630976556589,-1.4678813975986302,-1.4537179674429037,-1.672958981718985,-0.05313331701596939,0.015214122363725704,-0.2033943190340879
860,action,4546,204.0,4342.0,160.0,4386.0,159.0,4387.0,31.0,4515.0,0.0449,0.0352,0.035,0.0068,0.7843,0.9938,0.1938,1.367922245144503e-48,0.0,5.213677242108607e-34,0.0,9.12053401589732e-33,0.0,1.8800226053005578e-07,0.0,-1.4385418179725813,-1.35274568687715,-1.3334237337251917,-1.3134165950318448,0.08700304743541117,0.018702405443508797,0.03923889473998449
1959,calculation,770,34.0,736.0,32.0,738.0,32.0,738.0,0.0,770.0,0.0442,0.0416,0.0416,0.0,0.9412,1.0,0.0,4.1399433753556545e-11,0.0,3.692628650395482e-06,0.0,6.106724845878424e-06,0.0,7.99482778178163e-06,0.0,-1.4612108933222967,-1.111737587373355,-1.0841951274164285,-inf,0.3500987675785234,0.027674958442848226,-inf
54,molecules,4288,189.0,4099.0,156.0,4132.0,155.0,4133.0,27.0,4261.0,0.0441,0.0364,0.0361,0.0063,0.8254,0.9936,0.1731,1.0518033451907406e-47,0.0,6.610969804190281e-31,0.0,1.077979229360678e-29,0.0,6.19487638696014e-08,0.0,-1.464478607156208,-1.3043826653157509,-1.2887798186703496,-1.4235995127822678,0.16069088536126044,0.01841203711388043,-0.12372395130845774
3549,tim,1300,57.0,1243.0,46.0,1254.0,46.0,1254.0,2.0,1298.0,0.0438,0.0354,0.0354,0.0015,0.807,1.0,0.0435,1.2884056890014506e-17,0.0,4.301078628844962e-12,0.0,1.3475017832615208e-11,0.0,3.878264054160107e-07,0.0,-1.474326393112555,-1.3445717554314496,-1.317029295474523,-3.4939888406736657,0.1281661205193687,0.027674958442848226,-2.116242369939006
2538,arg,1850,76.0,1774.0,56.0,1794.0,56.0,1794.0,1.0,1849.0,0.0411,0.0303,0.0303,0.0005,0.7368,1.0,0.0179,8.69102957505431e-26,0.0,8.660596973212877e-20,0.0,4.0196489331285694e-19,0.0,1.0627626070754756e-11,0.0,-1.5661188690320456,-1.5690033220414963,-1.5414608620845698,-5.078951341394822,-0.0031294915544385123,0.027674958442848226,-3.39729818341084
81,covalent,4532,180.0,4352.0,125.0,4407.0,124.0,4408.0,23.0,4509.0,0.0397,0.0276,0.0274,0.0051,0.6944,0.992,0.184,5.946372989793387e-57,0.0,2.1273271117959887e-46,0.0,3.513976927672543e-45,0.0,1.9730145596695015e-10,0.0,-1.6161182555707705,-1.703652848736278,-1.6866027625969937,-1.7284540943106885,-0.08863560520129482,0.016086984167636532,-0.035623909730721215
57,crystal,4100,159.0,3941.0,112.0,3988.0,112.0,3988.0,19.0,4081.0,0.0388,0.0273,0.0273,0.0046,0.7044,1.0,0.1696,3.7155914650648484e-54,0.0,2.2452375015319924e-43,0.0,1.043026919221381e-41,0.0,1.2578784089811448e-10,0.0,-1.6492006105266006,-1.7194201645945946,-1.691877704637668,-1.8773174802251715,-0.06800764381456573,0.027674958442848226,-0.15319350611189728
662,cryst,4116,159.0,3957.0,112.0,4004.0,112.0,4004.0,19.0,4097.0,0.0386,0.0272,0.0272,0.0046,0.7044,1.0,0.1696,1.736247641785062e-54,0.0,1.0517498128387324e-43,0.0,4.9152650155882136e-42,0.0,1.2421046577962438e-10,0.0,-1.6566564154456478,-1.724714464264108,-1.6971720043071812,-1.8773174802251715,-0.06800764381456573,0.027674958442848226,-0.15319350611189728
3611,hetero,851,32.0,819.0,29.0,822.0,29.0,822.0,0.0,851.0,0.0376,0.0341,0.0341,0.0,0.9062,1.0,0.0,1.8172452898616202e-14,0.0,6.373556785134458e-09,0.0,1.5213381722093454e-08,0.0,1.4285027645378892e-06,0.0,-1.694524601036091,-1.398549376490275,-1.3710069165333483,-inf,0.29542693786761515,0.027674958442848226,-inf
3980,lle,2510,88.0,2422.0,58.0,2452.0,57.0,2453.0,10.0,2500.0,0.0351,0.0231,0.0227,0.004,0.6591,0.9828,0.1724,5.563130652792081e-40,0.0,5.9197828940556305e-34,0.0,2.2698933755180266e-33,0.0,4.392329583715497e-08,0.0,-1.7937862324091678,-1.9604282640983899,-1.9580863582666057,-2.0789513413948217,-0.16390518250134142,0.002644721255563663,-0.12956990158599843
104,core,4033,132.0,3901.0,107.0,3926.0,107.0,3926.0,8.0,4025.0,0.0327,0.0265,0.0265,0.002,0.8106,1.0,0.0748,5.7993838213337534e-64,0.0,3.448412077388931e-44,0.0,1.6707498674470576e-42,0.0,4.210426368872547e-17,0.0,-1.895966627215646,-1.7623287560638858,-1.7347862961069593,-3.0789513413948217,0.1345876224010667,0.027674958442848226,-1.3342195007874598
3901,ome,5273,160.0,5113.0,138.0,5135.0,138.0,5135.0,15.0,5258.0,0.0303,0.0262,0.0262,0.0028,0.8625,1.0,0.1087,4.5136400955809906e-85,0.0,2.4809144372374742e-55,0.0,2.863790600026113e-53,0.0,8.297675666053893e-18,0.0,-2.0059394692407775,-1.778754303976997,-1.7512118440200701,-2.59352451422458,0.224121903794482,0.027674958442848226,-0.7949777356477874
3342,batch,1027,31.0,996.0,14.0,1013.0,14.0,1013.0,91.0,936.0,0.0302,0.0136,0.0136,0.0886,0.4516,1.0,6.5,6.892334076762554e-21,0.0,8.841895864472664e-22,0.0,4.282830827120841e-21,0.0,4.283002475284985e-30,0.0,-2.010708713388649,-2.724714464264108,-2.6971720043071814,2.390283452272834,-0.7093570668727732,0.027674958442848226,5.107038137015445
305,into,4190,123.0,4067.0,88.0,4102.0,88.0,4102.0,8.0,4182.0,0.0294,0.021,0.021,0.0019,0.7154,1.0,0.0909,9.887940284027608e-73,0.0,1.3944644942828987e-56,0.0,9.514859571865082e-55,0.0,5.817749410007293e-18,0.0,-2.049441107877364,-2.0979317878483243,-2.070389327891398,-3.1529519228385987,-0.04565243465054863,0.027674958442848226,-1.0529774764809894
796,predict,2073,60.0,2013.0,54.0,2019.0,54.0,2019.0,8.0,2065.0,0.0289,0.026,0.026,0.0039,0.9,1.0,0.1481,2.4099707830583364e-40,0.0,1.0017671400904318e-25,0.0,7.439500438420222e-25,0.0,3.4787860396451846e-07,0.0,-2.0741877702130496,-1.7898094924859926,-1.7622670325290661,-2.115477217419936,0.2855224484586253,0.027674958442848226,-0.3487580353862487
3210,pred,2076,60.0,2016.0,54.0,2022.0,54.0,2022.0,8.0,2068.0,0.0289,0.026,0.026,0.0039,0.9,1.0,0.1481,1.651731455182863e-40,0.0,7.016623263306646e-26,0.0,7.600853025107368e-25,0.0,3.483154413116152e-07,0.0,-2.0741877702130496,-1.7898094924859926,-1.7622670325290661,-2.115477217419936,0.2855224484586253,0.027674958442848226,-0.3487580353862487
2610,ser,4430,128.0,4302.0,88.0,4342.0,67.0,4363.0,8.0,4422.0,0.0289,0.0199,0.0151,0.0018,0.6875,0.7614,0.0909,3.1693031781370174e-77,0.0,8.019294458220526e-62,0.0,3.065130366347106e-72,0.0,4.445847271806811e-19,0.0,-2.0741877702130496,-2.1755526849707985,-2.5462301062324415,-3.2309544348398718,-0.10304283945902748,-0.365598566544339,-1.0529774764809894
1194,library,3301,92.0,3209.0,87.0,3214.0,87.0,3214.0,18.0,3283.0,0.0279,0.0264,0.0264,0.0055,0.9457,1.0,0.2069,2.6741263987299098e-62,0.0,8.860513313770169e-38,0.0,2.0145953750032984e-36,0.0,1.1351567537321085e-07,0.0,-2.1249921408845407,-1.7677831861559938,-1.7402407261990671,-1.6195197227575246,0.3569800437375146,0.027674958442848226,0.13360396918491302
463,known,1098,29.0,1069.0,27.0,1071.0,27.0,1071.0,0.0,1098.0,0.0264,0.0246,0.0246,0.0,0.931,1.0,0.0,1.481030675216568e-24,0.0,1.398008533473906e-15,0.0,3.736142376428908e-15,0.0,3.244033578723753e-08,0.0,-2.204719333355275,-1.8696628001752074,-1.8421203402182809,-inf,0.3343786148003819,0.027674958442848226,-inf
84,interact,4474,115.0,4359.0,82.0,4392.0,81.0,4393.0,20.0,4454.0,0.0257,0.0183,0.0181,0.0045,0.713,0.9878,0.2439,2.5439689388200679e-85,0.0,2.855498851181724e-66,0.0,9.219141884131029e-65,0.0,1.0498556962302014e-11,0.0,-2.24348890351985,-2.296477467230405,-2.284788958474315,-1.9090263399525094,-0.050500476314523673,0.009965832271843042,0.37096008212108744
623,predicted,1893,48.0,1845.0,44.0,1849.0,44.0,1849.0,5.0,1888.0,0.0254,0.0232,0.0232,0.0026,0.9167,1.0,0.1136,4.619783288267621e-41,0.0,1.7414430677396822e-26,0.0,1.4156628015738262e-25,0.0,3.123548043823483e-08,0.0,-2.2604287659415627,-1.9541963103868754,-1.9266538504299486,-2.700439718141092,0.3120471205038418,0.027674958442848226,-0.7313668411704145
141,interaction,4290,104.0,4186.0,77.0,4213.0,76.0,4214.0,19.0,4271.0,0.0242,0.0179,0.0177,0.0044,0.7404,0.987,0.2468,5.579838192398354e-86,0.0,5.909454999072725e-65,0.0,1.966221881174425e-63,0.0,2.4839022327248114e-11,0.0,-2.330250215439134,-2.328361528250191,-2.3170292954745233,-1.9414478176448868,0.003902342224799793,0.008796948237158993,0.38801271847432134
